id,created_at,empresa_id,DSProcesso,sincEventos,area,ano_dsprocesso
278,1690476252549,12,811.277/2015,1705923594643,,
279,1690476287626,12,811.588/2015,1717183517811,,
280,1690476287626,12,811.589/2015,1717183514922,,
281,1690476287626,12,811.596/2015,1717183512811,,
282,1690476287626,12,811.625/2015,1717183510428,,
283,1690476287626,12,811.639/2015,1717183509515,,
284,1690476287626,12,811.640/2015,1723816907758,,
285,1690476287626,12,811.663/2012,1723816906516,,
286,1690476287626,12,811.671/2012,1723816902740,,
287,1690476337591,12,811.700/2012,1723816899822,,
288,1690594829121,12,800.134/2020,1705922800648,,
289,1690594829121,12,860.690/2020,1705923474541,,
290,1690594829121,12,860.689/2020,1705924421541,,
291,1690594829121,12,860.283/2018,1719252389619,,
292,1690594829121,12,800.136/2020,1705922527457,,
293,1690594829121,12,800.212/2020,1705923573851,,
294,1690594829121,12,800.213/2020,1705924272947,,
295,1690594829121,12,800.214/2020,1705922437346,,
296,1690594829121,12,800.848/2022,1705923743444,,
297,1690594829121,12,800.849/2022,1710927300580,,
298,1690594829121,12,803.030/2023,1705923069156,,
299,1690594829121,12,803.031/2023,1705923667258,,
300,1690594829121,12,803.032/2023,1705924416461,,
301,1690594829121,12,820.286/2023,1705924563644,,
302,1690594829121,12,820.287/2023,1705923498641,,
303,1690594856053,12,820.319/2023,1705923036244,,
304,1690594856053,12,830.082/2023,1705924480846,,
305,1690594856053,12,830.083/2023,1705922830545,,
306,1690594856053,12,830.084/2023,1705923734151,,
307,1690594856053,12,830.085/2023,1705923344854,,
308,1690594856053,12,830.327/2023,1705922637141,,
309,1690594856053,12,830.328/2023,1705923659957,,
310,1690594856053,12,830.330/2023,1705923348850,,
311,1690594856053,12,830.331/2023,1705923532649,,
312,1690594856053,12,830.332/2023,1705922747853,,
313,1690594856053,12,830.338/2023,1705923417354,,
314,1690594856053,12,830.339/2023,1705924468945,,
315,1690594856053,12,830.340/2023,1705923598341,,
316,1690594856053,12,830.341/2023,1705923958151,,
317,1690594856053,12,830.342/2023,1705922991845,,
318,1690594874662,12,830.343/2023,1705923625353,,
319,1690594874662,12,830.344/2023,1705922865146,,
320,1690594874662,12,830.345/2023,1705923974748,,
